Task Name,List,Status,Priority,Tags,Story Points,Assignee,Description
"E1.1 — Setup do Projeto Base","Epic E1 — Foundation","concluído","normal","wave-1,foundation,pass",5,,"Next.js 16 + TypeScript strict + Supabase configurado. 14/14 ACs completos. QA: PASS."
"E1.2 — Sistema de Autenticação com Perfis","Epic E1 — Foundation","concluído","normal","wave-1,foundation,pass",8,,"Middleware com UUID validation, 6 perfis, requireUnitAccess. 13/13 ACs. QA: PASS. Corrigido: UUID validation no middleware. Pendente Wave 2: JWT Hook manual."
"E1.3 — Multi-Tenant: Cadastro de Unidades","Epic E1 — Foundation","concluído","normal","wave-1,foundation,pass",5,,"RLS por unidade, layout base com sidebar. 8/8 ACs. QA: PASS. Corrigido: cross-tenant scoping."
"E1.4 — Cadastro de Funcionários e Equipamentos","Epic E1 — Foundation","concluído","normal","wave-1,foundation,pass",5,,"Convite por email, CRUD equipamentos. 7/7 ACs. QA: PASS. Corrigido: unit_id scoping em update/status."
"E1.5 — PWA: App Instalável em Tablet e Mobile","Epic E1 — Foundation","concluído","normal","wave-1,foundation,pass",5,,"Service Worker com next-pwa, offline queue com max 5 retries, manifest.json. 8/8 ACs. QA: PASS. Corrigido: retry limit na offline queue."
"E1.6 — Layout Base e Navegação por Perfil","Epic E1 — Foundation","concluído","normal","wave-1,foundation,pass",3,,"5 layouts diferentes por perfil. 8/8 ACs. QA: PASS."
"E2.1 — Criação de Comanda Digital","Epic E2 — Rastreio Operacional","concluído","normal","wave-1,rastreio,pass",8,,"Numeração sequencial (SP-001/2026), Zod validation, state machine. 8/8 ACs. QA: PASS."
"E2.2 — Etiqueta e QR Code da Comanda","Epic E2 — Rastreio Operacional","concluído","normal","wave-1,rastreio,pass",3,,"QR Code + Code 128, layout imprimível 80mm. 6/6 ACs. QA: PASS."
"E2.3 — Interface de Setor: Triagem","Epic E2 — Rastreio Operacional","concluído","normal","wave-1,rastreio,pass",5,,"Fullscreen tablet, scan QR, realtime. 8/9 ACs. QA: PASS. Corrigido: unit_manager adicionado aos roles. Pendente Wave 2: AC9 offline queue integration."
"E2.4-E2.7 — Interfaces dos Setores (Lavagem, Secagem, Passadoria, Expedição)","Epic E2 — Rastreio Operacional","concluído","normal","wave-1,rastreio,pass",13,,"GenericSectorForm pattern. 18/24 ACs. QA: PASS. Corrigido: cross-tenant, role mismatch, unit_manager nos roles. Pendente Wave 2: equipment selection, shift counters."
"E2.8 — Painel TV: Gestão à Vista por Setor","Epic E2 — Rastreio Operacional","concluído","normal","wave-1,rastreio,pass",5,,"5 colunas, SLA highlight, 30s auto-refresh. 8/9 ACs. QA: PASS. Pendente Wave 2: token display sem login."
"E2.9 — Dashboard de Produção: KPIs em Tempo Real","Epic E2 — Rastreio Operacional","concluído","normal","wave-1,rastreio,pass",8,,"Recharts, revalidate=60s. 8/12 ACs. QA: PASS. Corrigido: N+1 queries. Pendente Wave 2: AC4 tempo ciclo, AC9 filtros, AC11 trends."
"E2.10 — Alertas de SLA","Epic E2 — Rastreio Operacional","concluído","normal","wave-1,rastreio,pass",5,,"Ordenação por maior excesso, botão Ciente, auto-refresh. 6/6 ACs. QA: PASS."
"E2.11 — Histórico de Produção","Epic E2 — Rastreio Operacional","concluído","normal","wave-1,rastreio,pass",5,,"Busca debounce, filtros, paginação 20/page, CSV export. 6/6 ACs. QA: PASS."
"E3.1 — Receitas de Lavagem","Epic E3 — Equipamentos e Insumos","concluído","normal","wave-1,equipamentos,pass",5,,"CRUD completo, filtro por tipo de peça, vínculo insumos químicos. 7/7 ACs. QA: PASS. Corrigido: unit_id scoping em update/toggle. Implementado: recipe_chemicals UI. Pendente Wave 2: AC7 unique constraint."
